time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-04-12T12:13:06.341Z,60.0814,-140.7052,6.9,1.5,ml,,,,0.29,ak,ak19232585,2018-04-12T12:19:28.947Z,"80km NW of Yakutat, Alaska",earthquake,,0.6,,,automatic,ak,ak
2018-04-12T12:08:39.790Z,19.3851662,-155.2681732,5,2.16,md,40,48,0.01139,0.32,hv,hv70078346,2018-04-12T12:11:59.480Z,"5km SSW of Volcano, Hawaii",earthquake,0.44,0.53,0.16,20,automatic,hv,hv
2018-04-12T12:05:56.007Z,38.4332,-118.3285,7.5,0.4,ml,5,127.91,0.007,0.0904,nn,nn00630170,2018-04-12T18:19:37.373Z,"27km ESE of Hawthorne, Nevada",earthquake,,1.5,0.14,2,reviewed,nn,nn
2018-04-12T12:01:57.540Z,19.3968334,-155.2781677,8.6,1.89,ml,31,45,0.004513,0.17,hv,hv70078336,2018-04-12T12:07:41.020Z,"5km SW of Volcano, Hawaii",earthquake,0.45,0.45,0.16,4,automatic,hv,hv
2018-04-12T11:49:59.056Z,59.3088,-153.0081,69.9,2,ml,,,,0.36,ak,ak19232577,2018-04-12T11:57:35.468Z,"84km SW of Anchor Point, Alaska",earthquake,,1.2,,,automatic,ak,ak
2018-04-12T11:49:51.380Z,34.021,-117.227,16.69,1.07,ml,20,97,0.08615,0.2,ci,ci38147952,2018-04-12T13:04:55.591Z,"4km SE of Loma Linda, CA",earthquake,0.43,0.96,0.286,13,reviewed,ci,ci
2018-04-12T11:49:01.134Z,60.326,-152.1346,82.3,1.8,ml,,,,0.67,ak,ak19232572,2018-04-12T11:54:53.262Z,"37km ESE of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
2018-04-12T11:44:11.330Z,48.0925,-113.0208333,6.15,1.57,ml,11,118,0.704,0.22,mb,mb80289409,2018-04-12T14:08:38.670Z,"50km S of South Browning, Montana",earthquake,0.73,31.61,0.027,2,reviewed,mb,mb
2018-04-12T11:41:02.200Z,33.5201667,-116.7521667,4.57,0.52,ml,17,130,0.04679,0.1,ci,ci38147944,2018-04-12T19:23:42.293Z,"8km WSW of Anza, CA",earthquake,0.27,0.3,0.089,9,reviewed,ci,ci
2018-04-12T11:39:41.580Z,19.4023342,-155.2806702,8.6,1.73,ml,38,29,0.009593,0.25,hv,hv70078306,2018-04-12T11:45:41.000Z,"5km SW of Volcano, Hawaii",earthquake,0.42,0.48,0.24,6,automatic,hv,hv
2018-04-12T11:37:00.800Z,39.4512,143.2552,34.53,4.9,mb,,136,2.146,0.98,us,us2000dytz,2018-04-12T13:53:14.332Z,"112km E of Yamada, Japan",earthquake,7.5,5.8,0.053,110,reviewed,us,us
